block,status,key_metrics,finding,evidence_level,files
19A.1 result/curve inventory,ok,n_files=45; families=legacy_day8_9_10_result_summary=28; dtQ_curve_like=9; ablation_or_metric_summary=7; other_result_csv=1; audit_readiness=legacy_summary_needs_json_schema=28; summary_or_auxiliary_only=9; sign_auditable_from_time_pairs=7; curve_dt_present_but_sign_needs_external_ground_truth=1,Historical outputs were classified by file family. Day8/Day9 CSVs are summary-level but paired JSON payloads are available for raw-trajectory audit.,inventory_support,data/day19A_step1_result_curve_inventory.csv
19A.1 CSV sign self-audit,ok,n_ok=7/7; inferred_sign=official_tRef_minus_tProtocol=7,All time-pair-auditable CSV files store Δt with the official sign convention t_ref − t_protocol. The Day18B discrepancy is not caused by an on-disk sign inversion.,high_for_excluding_sign_bug,data/day19A_step1_csv_timepair_sign_self_audit.csv
19A.1 legacy JSON strict-net validation,ok,usable_records=247/279; q_match_mode=strict_net_minus_I=247,"Legacy Day8/Day9 JSON payloads preserve t_chg, I_chg, and Q_net_trajectory. For all usable records, stored Q_net_trajectory matches strict-net integration Q=-∫I dt.",high_raw_trajectory_ground_truth,data/day19A_step1_legacy_json_trajectory_validation.csv
19A.1 Day18B residual magnitude null baseline,near_zero_null_baseline,max_abs_identity_err_s=2.274e-13; dt_resid_max_abs_s=0.044075; dt_resid_p95_abs_s=0.009089; resid_over_geom_median=4.01981e-05,"Day18B prescribed-current CC residual is a near-zero null baseline. Raw Δt is carried by current geometry, not by non-geometric model response.",high_for_geometry_null_baseline,data/day19A_step1_day18B_smoke_identity_resid_magnitude_audit.csv
19A.1 legacy time-axis anomaly audit,ok,n_anomalies=5; classes=duplicate_timestamps_only=5; recoverable=5/5,All known legacy time-axis anomalies are duplicate-timestamp-only cases and are repairable by keep-last de-duplication. No successful legacy record needs to be excluded on time-axis grounds.,high_for_trajectory_cleaning,data/day19A_step1_t_axis_anomaly_diagnostic.csv
19A.2 MJ1 waveform-geometry anchor,ok,charge_first_raw_mean=337.503105s; discharge_first_raw_mean=-188.997636s; raw_cummax_max_diff=0.000000s,"The waveform-only helper reproduces the MJ1 charge-first geometry anchor. Discharge-first remains negative but is not the exact negative mirror, confirming phase sensitivity without imposing false symmetry.",high_helper_anchor,data/day19A_step2_MJ1_0p3_0p7_10tau_geom_anchor_summary.csv
19A.2 geometry helper validation against Day18B/v4,ok,n_rows=1272; n_groups=21; global_max_abs_err_s=0.098797; global_median_abs_err_s=0.000278,"Using actual rebased frequency metadata, the Cell 4A helper reproduces stored Day18B/Day18 v4 geometry columns. 4D v1 failure was a frequency-basis mismatch, not a helper failure.",high_for_helper_equivalence,data/day19A_step2_geometry_helper_validation_summary.csv
19A.2 trajectory helper de-dup self-test,ok,n_records=5; removed_samples=5; max_q_mismatch_mAh=3.76367e-05,Trajectory helper repairs all known duplicate timestamp cases while preserving strict-net Q consistency.,high_helper_selftest,data/day19A_step2_trajectory_helper_dedup_selftest.csv
19A.3 Day8/Day9 residual topology,ok,n_pairs=198; stable_verdicts=stable_weak=102; stable_null=53; stable_intermediate_or_spiky=24; stable_distributed_nonzero=19; taxonomy=isolated_spike=59; null_residual=50; weak_distributed_residual=32; edge_or_boundary_artifact=22; distributed_residual_requires_inspection=19; mixed_or_intermediate=16,Day8/Day9 legacy DC-vs-DCAC pairs are all discharge-first. Most pairs are stable-null or stable-weak; max-based inspect labels are dominated by isolated spikes and boundary artifacts.,high_raw_trajectory_retro_audit,data/day19A_step3_legacy_residual_taxonomy.csv
19A.3 Day8/Day9 lineage verdict,ok,n_lineages=7; lineage_verdicts=mixed_with_distributed_candidates=3; geometry_dominated_or_weak_residual=2; distributed_candidates_in_exploratory_branch=2; evidence_levels=requires_pair_level_review=3; high_for_geometry_dominated_reclassification=2; not_clean_mechanism_evidence=2,day8_x2 and day9_x5beta support geometry-dominated reclassification. X6alpha/X6beta distributed candidates occur in exploratory combined branches and are not clean mechanism evidence.,high_for_legacy_reclassification,data/day19A_step3_legacy_lineage_verdict_summary.csv
19A.4 Day16/nb20 Q-window gate,ok,n_groups=36; refined_status=compatible=25; compatible_with_capacity_scale_warning=11; capacity_warnings=11,All Day16 groups pass the Q-window gate. Eleven groups are included with capacity-scale warning but not excluded.,supporting_window_gate,data/day19A_step4_day16_window_audit_refined.csv
19A.4 Day16/nb20 stored-first-passage residual audit,ok,n_groups=36; stable_verdicts=stable_weak=13; stable_null=11; stable_intermediate_or_spiky=9; stable_distributed_nonzero=3; taxonomy=null_residual=11; isolated_spike=8; mixed_or_intermediate=6; weak_distributed_residual=6; edge_or_boundary_artifact=3; distributed_residual_requires_inspection=2,"Day16 stored-first-passage audit is broadly consistent with Day8/Day9: most groups are stable-null, stable-weak, intermediate/spiky, or boundary-like; only a few retain stable-distributed-nonzero labels. Evidence level is lower because raw trajectories are unavailable.",supporting_stored_first_passage_audit,data/day19A_step4_day16_dt_resid_summary.csv
19A.5 DCAC-vs-DCAC ablation phase audit,ok,n_notebooks=5; evidence_status=same_phase_ablation_valid_internal_only=4; mixed_lineage_phase_pair_evidence=1,"nb14/15/16/19 retain internal validity as same-phase discharge-first ablation evidence, but absolute Δt is not comparable to the charge-first mainline. nb18 is mixed-lineage phase-pair evidence.",high_for_ablation_evidence_reclassification,data/day19A_step5_ablation_phase_audit_summary.csv
19A.5 nb18 paired phase evidence,ok,n_files=3; v2_alias_byte_identical=True; phases=discharge_first=2; charge_first=1,"nb18 v1 historically labelled wrong_phase is reclassified as charge-first / experiment-faithful. nb18 v2 is discharge-first / nb16-aligned production, with byte-identical aligned alias. The v1/v2 pair is JES2 §4 phase-sensitivity evidence.",high_for_phase_sensitivity_evidence,data/day19A_step5_nb18_phase_pair_inventory.csv
