role,variable_key,reducer,interpretation,primary_allowed,boundary_note,available_in_current_model,parameter_set,model_type,frequency_mode,tau_factor_main,tau_ref_set_s,tau_ref_source
primary_plating_margin_proxy,Negative electrode surface potential difference [V],spatial_min,Primary U_NE vs Li/Li+ proxy; use spatial minimum over negative electrode.,True,Thermodynamic proxy only; risk_flag is not confirmed lithium plating.,True,Chen2020,DFN,set_rebased,1.5,36.316532231592305,Day17 tau2_biexp descriptor matrix
local_plating_margin_proxy,Negative electrode surface potential difference at separator interface [V],direct_timeseries,Separator-interface local margin check; auxiliary to spatial minimum.,False,"Useful local diagnostic, but primary metric remains spatial minimum if available.",True,Chen2020,DFN,set_rebased,1.5,36.316532231592305,Day17 tau2_biexp descriptor matrix
xavg_margin_secondary,X-averaged negative electrode surface potential difference [V],direct_timeseries,"Average negative-electrode margin; secondary only, not a local-risk substitute.",False,X-averaged value can hide local plating-margin risk.,True,Chen2020,DFN,set_rebased,1.5,36.316532231592305,Day17 tau2_biexp descriptor matrix
ocp_reference,Negative electrode open-circuit potential [V],mean_or_direct,Equilibrium reference only.,False,OCP is not plating-margin proxy because it excludes electrolyte potential and kinetic polarization.,True,Chen2020,DFN,set_rebased,1.5,36.316532231592305,Day17 tau2_biexp descriptor matrix
forbidden_as_primary,Negative electrode open-circuit potential [V],not_applicable,Explicitly forbidden as primary plating-risk metric.,False,Negative electrode OCP is not U_NE vs Li/Li+ under load.,True,Chen2020,DFN,set_rebased,1.5,36.316532231592305,Day17 tau2_biexp descriptor matrix
kinetic_state,X-averaged negative electrode reaction overpotential [V],direct_timeseries,Negative-electrode kinetic polarization state.,False,Explanatory variable; not a standalone plating-margin criterion.,True,Chen2020,DFN,set_rebased,1.5,36.316532231592305,Day17 tau2_biexp descriptor matrix
transport_state,Electrolyte concentration [mol.m-3],range_min_max,Electrolyte transport state and concentration-gradient proxy.,False,Explanatory variable for margin loss and polarization.,True,Chen2020,DFN,set_rebased,1.5,36.316532231592305,Day17 tau2_biexp descriptor matrix
surface_state,X-averaged negative particle surface stoichiometry,direct_timeseries,Average negative surface lithiation state.,False,Explanatory state variable; high surface lithiation may reduce margin.,True,Chen2020,DFN,set_rebased,1.5,36.316532231592305,Day17 tau2_biexp descriptor matrix
surface_heterogeneity_state,Maximum negative particle surface stoichiometry,direct_timeseries,Upper bound of negative surface stoichiometry; local saturation proxy.,False,Explanatory variable for surface saturation risk.,True,Chen2020,DFN,set_rebased,1.5,36.316532231592305,Day17 tau2_biexp descriptor matrix
surface_heterogeneity_state,Minimum negative particle surface stoichiometry,direct_timeseries,Lower bound of negative surface stoichiometry; enables surface range.,False,Used with maximum surface stoichiometry to estimate heterogeneity.,True,Chen2020,DFN,set_rebased,1.5,36.316532231592305,Day17 tau2_biexp descriptor matrix
