source_key,path,exists,size_bytes
day21A_closure,/Users/louislu/pybamm-dcac-superimposed/data/day21A_step8_closure_summary.csv,True,3080
day21A_verdict,/Users/louislu/pybamm-dcac-superimposed/data/day21A_step6_MJ1_mechanism_verdict.csv,True,7422
day21A_segment_assignment,/Users/louislu/pybamm-dcac-superimposed/data/day21A_step4_MJ1_segment_assignment.csv,True,2632
day21A_dtq_summary,/Users/louislu/pybamm-dcac-superimposed/data/day21A_step5_MJ1_dtQ_segment_summary.csv,True,2608
day21A_diagnostic,/Users/louislu/pybamm-dcac-superimposed/data/day21A_step5E_MJ1_residual_diagnostic_synthesis.csv,True,1767
day22A_closure,/Users/louislu/pybamm-dcac-superimposed/data/day22A_step7_closure_summary.csv,True,2574
day22A_verdict,/Users/louislu/pybamm-dcac-superimposed/data/day22A_step6_MJ1_0p3C_0p4C_mechanism_verdict.csv,True,4439
day22A_segment_assignment,/Users/louislu/pybamm-dcac-superimposed/data/day22A_step4_MJ1_0p3C_0p4C_segment_assignment.csv,True,2566
day22A_dtq_summary,/Users/louislu/pybamm-dcac-superimposed/data/day22A_step5_MJ1_0p3C_0p4C_dtQ_segment_summary.csv,True,3890
day22A_resolution,/Users/louislu/pybamm-dcac-superimposed/data/day22A_step3A_MJ1_0p3C_0p4C_resolution_floor_summary.csv,True,836
day23A_closure,/Users/louislu/pybamm-dcac-superimposed/data/day23A_step7_closure_summary.csv,True,2209
day23A_verdict,/Users/louislu/pybamm-dcac-superimposed/data/day23A_step6_MJ1_0p4C_subDC_generalized_verdict.csv,True,3692
day23A_g_assignment,/Users/louislu/pybamm-dcac-superimposed/data/day23A_step4_MJ1_0p4C_subDC_G0G1G2_assignment.csv,True,2688
day23A_dtq_summary,/Users/louislu/pybamm-dcac-superimposed/data/day23A_step5_MJ1_0p4C_subDC_dtQ_Gregion_summary.csv,True,2731
day23A_resolution,/Users/louislu/pybamm-dcac-superimposed/data/day23A_step3A_MJ1_0p4C_subDC_resolution_floor_summary.csv,True,807
day23A_framework,/Users/louislu/pybamm-dcac-superimposed/data/day23A_step0D_framework_decision.csv,True,623
day23A_exclusion,/Users/louislu/pybamm-dcac-superimposed/data/day23A_step0A5_file_exclusion_audit.csv,True,3573
